,zip_code,month,year,customer_class,combined,total_customers,total_Thm,average_Thm
456,95641,1,2013,Gas- Commercial,Y,0,0,
457,95642,1,2013,Gas- Commercial,Y,663,255912,386.0
458,95648,1,2013,Gas- Commercial,Y,0,0,
459,95650,1,2013,Gas- Commercial,Y,0,0,
460,95652,1,2013,Gas- Commercial,Y,0,0,
461,95658,1,2013,Gas- Commercial,Y,0,0,
462,95660,1,2013,Gas- Commercial,Y,486,382197,786.0
463,95661,1,2013,Gas- Commercial,Y,796,506502,636.0
464,95662,1,2013,Gas- Commercial,Y,0,0,
465,95663,1,2013,Gas- Commercial,Y,0,0,
466,95667,1,2013,Gas- Commercial,Y,0,0,
467,95670,1,2013,Gas- Commercial,N,479,428360,894.0
468,95673,1,2013,Gas- Commercial,Y,145,101938,703.0
469,95677,1,2013,Gas- Commercial,Y,704,231534,329.0
470,95678,1,2013,Gas- Commercial,N,869,511257,588.0
471,95681,1,2013,Gas- Commercial,Y,0,0,
472,95685,1,2013,Gas- Commercial,Y,0,0,
473,95687,1,2013,Gas- Commercial,N,406,229400,565.0
474,95688,1,2013,Gas- Commercial,Y,594,252433,425.0
475,95691,1,2013,Gas- Commercial,Y,694,357459,515.0
476,95692,1,2013,Gas- Commercial,Y,0,0,
477,95694,1,2013,Gas- Commercial,Y,0,0,
478,95695,1,2013,Gas- Commercial,Y,0,0,
